criterion_id	scenario_id	buckets	n_buckets	criterion
te_0241_c01	te_0241	not_a_requirement	1	The capacitance measures the ability of a capacitor to store charge.
te_0241_c02	te_0241	not_a_requirement	1	The higher the capacitance, the more charge can be stored for a given voltage.
te_0242_c01	te_0242	not_a_requirement	1	This is a more technical term of stating the same thing
te_0242_c02	te_0242	not_a_requirement	1	When the text talks about the operator that maps input to output commutes with the time-shift operator, it means that the order of those two operations does not matter.
te_0243_c01	te_0243	hedging;not_a_requirement	2	Not necessarily, since the system is only BIBO if the output is bounded for all possible bounded input signals
te_0244_c01	te_0244	not_a_requirement	1	It means that the integral is finite, and does not diverge to infinity.
te_0245_c01	te_0245	not_a_requirement	1	The eigenfunction is e^{s t}.
te_0245_c02	te_0245	not_a_requirement	1	When we apply the operator H to the eigenfunction, we get the same eigenfunction back, but multiplied by a constant $\lambda_s$
te_0247_c02	te_0247	not_a_requirement	1	Chance events affect a larger fraction of the gene pool for smaller populations than larger populations.
te_0248_c01	te_0248	not_a_requirement	1	Crossing over does not introduce new alleles into a gene pool.
te_0248_c02	te_0248	not_a_requirement	1	Crossing over can increase genetic diversity by changing which alleles are on a particular chromosome
te_0251_c01	te_0251	compound_multipart	1	Identifies and points out to the student that they are confused about the distinction between sympatric and allopatric speciation.
te_0257_c01	te_0257	compound_multipart;hedging	2	Identifies and points out to the student that they might be confused about these concepts.
te_0258_c01	te_0258	not_a_requirement	1	Understanding the historical patterns of natural cycles helps to identify the differences
te_0259_c01	te_0259	compound_multipart;not_a_requirement;observational_verdict	3	This is correct. Note that CO2, CH4, and N2O are more substantially affected by direct human emissions, not water vapor.
te_0260_c01	te_0260	observational_verdict;under_specified	2	The answer is N2O.
te_0262_c01	te_0262	not_a_requirement	1	Demand can't be changed, so we can think about alternative supply sources.
te_0263_c01	te_0263	not_a_requirement	1	Think about both technological and economical barriers.
te_0265_c01	te_0265	hedging	1	Note that pollutants are not necessarily related to health, but could be associated with other factors, such as cost.
te_0266_c02	te_0266	not_a_requirement	1	Need to clarify the logical chain of eutrophication.
te_0267_c02	te_0267	not_a_requirement	1	The objective of a treatment plant should meet the current needs
te_0269_c01	te_0269	not_a_requirement	1	The question is not about 'how' but 'why'.
te_0269_c02	te_0269	not_a_requirement	1	It's important to remind the student about the difference between combined and separated treatment systems.
te_0270_c01	te_0270	compound_multipart;not_a_requirement;observational_verdict	3	This is true. There are other types, such as grey, blue H2.
te_0270_c02	te_0270	not_a_requirement	1	The color prefix means how environmental friendly the H2 is produced.
te_0271_c01	te_0271	not_a_requirement	1	This is an open-end question.
te_0271_c02	te_0271	not_a_requirement	1	Think about the applicable scenarios to utilize the two types of fuels.
te_0272_c01	te_0272	not_a_requirement	1	Think about the whole life cycle, from sources, production, transportation, and applications.
te_0273_c01	te_0273	not_a_requirement	1	Knowing the advantages of smart grid and main issue of traditional electricty grids is the key.
te_0274_c01	te_0274	not_a_requirement	1	This depends on many factors, such as demands, countries, and policy.
te_0275_c01	te_0275	not_a_requirement	1	The key lies in considering the service availability.
te_0277_c01	te_0277	not_a_requirement	1	There is no such criteria to determine the importance
te_0277_c02	te_0277	not_a_requirement	1	Think about the hierarchy of waste management and why prevention is on the top.
te_0279_c01	te_0279	compound_multipart;not_a_requirement;observational_verdict	3	Yes, it's possible. In fact, they are already many examples in application.
te_0279_c02	te_0279	not_a_requirement	1	Think about the sensorable properties of solid waste and the overall objectives.
te_0280_c01	te_0280	not_a_requirement	1	This depends on the type of hazardous waste and the needs of pretreatment.
te_0280_c02	te_0280	not_a_requirement	1	Think about how to convert hazardous to non-hazardous.
te_0281_c01	te_0281	compound_multipart;not_a_requirement;observational_verdict	3	This is true. Note the unique characteristics of Superfund sites.
te_0282_c01	te_0282	not_a_requirement	1	This is an open-end question.
te_0284_c01	te_0284	not_a_requirement	1	It's important to think out of the box not only just focusing on the city itself but the potential negative impacts.
te_0285_c01	te_0285	not_a_requirement;observational_verdict	2	Yes, such as water or wastewater source thermal energy recovery.
te_0286_c01	te_0286	not_a_requirement	1	It's less likely in a short term.
te_0287_c01	te_0287	not_a_requirement	1	This depends on the type of enegry sources
te_0288_c01	te_0288	not_a_requirement	1	Energy needs to be sustained, while 'sustainability' is a concept of environment, economic, and social.
te_0289_c01	te_0289	compound_multipart;not_a_requirement;observational_verdict	3	This is false. Remind the student about the different infiltration properties bewteen urban and rural infrastructures.
te_0291_c01	te_0291	not_a_requirement	1	TARP needs an enormous budget, which is not affordable for most of other cities.
te_0293_c01	te_0293	not_a_requirement	1	There can be different approaches, ranging from physical to chemical, and more.
te_0294_c01	te_0294	not_a_requirement	1	This depends on concentrations and location conditions
te_0295_c01	te_0295	not_a_requirement	1	This depends on how you define 'harmful'.
te_0295_c02	te_0295	not_a_requirement	1	Think about the representative primary or secondary particles and their respective impacts.
te_0296_c01	te_0296	not_a_requirement;observational_verdict	2	Yes, Energy related CO2 is the major part of current total CO2 emissions.
te_0296_c02	te_0296	not_a_requirement	1	Energy sources with less CO2 emitted are readily available.
te_0297_c01	te_0297	not_a_requirement	1	The question is not about the definition of GWP, but why it's important in decarbonization.
te_0297_c02	te_0297	not_a_requirement	1	GWP is a normalized index without considering concentration.
te_0298_c01	te_0298	compound_multipart;not_a_requirement;observational_verdict	3	This is false. Remind the student that the resouces are limited.
te_0298_c02	te_0298	not_a_requirement	1	There are factors to be considered in addition to GWP.
te_0299_c01	te_0299	not_a_requirement	1	From ideal gas equation $R = \frac{Pv}{T}
te_0299_c02	te_0299	compound_multipart;not_a_requirement	2	The units of pressure are Pa=N/m^2, units of v are m^3/kg and units of T are K. By cancelling the m^2, we obtain N*m/kg/K=J/kg/K.
te_0300_c01	te_0300	hedging;not_a_requirement	2	Ideally by comparing to experimental data
te_0301_c01	te_0301	not_a_requirement	1	The temperature must be expressed in Kelvin when using the ideal gas law
te_0302_c01	te_0302	not_a_requirement;under_specified	2	A constant-volume process
te_0303_c01	te_0303	hedging;not_a_requirement	2	We could measure it in Fahrenheit, but Kelvin is preferred in science because it is a metric unit and is zero at absolute zero
te_0304_c01	te_0304	hedging;not_a_requirement;observational_verdict	3	Yes, it could still violate the second law of thermodynamics.
te_0305_c01	te_0305	not_a_requirement	1	Imagine a combined system with two heat reservoirs of different temperatures
te_0305_c02	te_0305	not_a_requirement	1	An engine turns the heat transfer from the hot to cold reservoir into useful power
te_0305_c03	te_0305	not_a_requirement	1	The power drives a heat pump which moves heat from the cold reservoir to the hot reservoir
te_0306_c01	te_0306	not_a_requirement	1	Kelvin-Planck is about the conversion of heat into work, while Clausius is about the direction of heat transfer.
te_0307_c01	te_0307	not_a_requirement	1	It would violate either the first or the second laws of thermodynamics.
te_0308_c01	te_0308	not_a_requirement	1	A closed system is one that does not exchange mass with its surroundings, but can exchange energy (heat and work).
te_0309_c01	te_0309	not_a_requirement	1	A state function is a property of the system that only depends on the current state of the system, not on how it got there.
te_0310_c01	te_0310	not_a_requirement	1	Newton's second law applies to point particles, which are theoretical point masses with no size or shape
te_0311_c01	te_0311	compound_multipart;not_a_requirement	2	From Newton's third law: If particle A exerts a force on particle B, then particle B exerts an equal and opposite force on particle A
te_0312_c01	te_0312	not_a_requirement	1	This is not valid, e.g., the velocity of the particles will vary across the body when the body is rotating
te_0313_c01	te_0313	not_a_requirement	1	The electromagnetic force which forms atomic and molecular bonds
te_0315_c01	te_0315	not_a_requirement	1	Permutations can be composed, and they form a group.
te_0315_c02	te_0315	not_a_requirement	1	Permutations can be expressed conveniently in the cycle form.
te_0315_c03	te_0315	not_a_requirement	1	There are two main types of permutations: even permutations that can be expressed as a product of an even number of transpositions, and odd permutations that can be expressed as a product of an odd number of transpositions.
te_0316_c01	te_0316	compound_multipart;hedging	2	Give at least one concrete example, where the concept of even/odd permutations is requited. This could be for instance in the definition of determinants, or for the fact that the alternating group is one of the simplest simple groups.
te_0317_c01	te_0317	not_a_requirement;under_specified	2	Student is confused.
te_0317_c03	te_0317	under_specified	1	Explain the previous point.
te_0318_c01	te_0318	not_a_requirement	1	Student has confused the order of applying the permutations when they are multiplied.
te_0318_c02	te_0318	compound_multipart;not_a_requirement	2	Permutation (13) acts first, then (235).
te_0319_c01	te_0319	not_a_requirement	1	Many of the early cryptosystems were vulnerable to frequency analysis.
te_0319_c02	te_0319	not_a_requirement	1	Modern cryptosystems, such as RSA are safe against such simple attacks.
te_0320_c02	te_0320	observational_verdict	1	Correct answer: QVQ LBH RNG ZL CVMMN OEHGHF.
te_0321_c01	te_0321	not_a_requirement	1	Many public-key cryptosystems such as RSA and many variants of elliptic curve cryptography would indeed be vulnerable to attacks by a quantum computer.
te_0321_c02	te_0321	not_a_requirement	1	Most widely used private-key cryptosystems, such as AES would not be vulnerable to quantum attacks.
te_0321_c03	te_0321	hedging;not_a_requirement	2	There is no capable enough quantum computer yet to run the attacks, but this may change in the future.
te_0321_c04	te_0321	not_a_requirement	1	Researchers have developed, and are currently developing new, post-quantum public-key cryptosystems (for example, lattice-based cryptography), that would be safe against quantum attacks.
te_0322_c01	te_0322	compound_multipart;hedging;not_a_requirement	3	Private-key means that the same key is used both for encryption and decryption. Such a key has to be kept private, or otherwise all encrypted messages could be decrypted by anyone!
te_0322_c02	te_0322	not_a_requirement	1	There are also public-key cryptosystems such as RSA, where encryption can be done using one key (this key can be kept public), and decryption by another (this key has to be kept private).
te_0324_c01	te_0324	not_a_requirement	1	Recall that Theorem 4 indicates disjoint cycles while Theorem 5 does not mention disjointness
te_0325_c01	te_0325	compound_multipart	1	Note that Theorem 4 does not say that $\sigma=\sigma_1=\cdots=\sigma_m$. Instead, it says $\sigma=\sigma_1\cdots\sigma_m$
te_0326_c01	te_0326	compound_multipart	1	Identifies and points out to the student that they get confused by pre-assuming things from other branches
te_0326_c02	te_0326	not_a_requirement	1	We are not in linear algebra
te_0326_c03	te_0326	compound_multipart;not_a_requirement	2	The two row notation is not really a matrix notation. It is only a way of writing the permutation using a table, with no algebraic structure of matices used
te_0327_c01	te_0327	not_a_requirement	1	Indicate the definition of permutations and that permutations form a group with composition
te_0327_c02	te_0327	compound_multipart;hedging;not_a_requirement	3	Indicate the definition of cycles and transpositions. State the unique disjoint cycles decomposition and that every permutation could be written as a product of transpositions
te_0327_c03	te_0327	not_a_requirement;vague_qualifier	2	Indicate the definition of sign and the fact that sign is well defined
te_0327_c04	te_0327	not_a_requirement	1	Indicate how to find the disjoint cycle decomposition and how to write a cycle as a product of transpositions
te_0328_c03	te_0328	hedging;not_a_requirement;vague_qualifier	3	For extra clarification, it might be good to refer to Exercise 2
te_0329_c02	te_0329	compound_multipart;hedging;not_a_requirement	3	A projective point $P$ is an affine line, which can be represented by a diretion vector defining it. A projective line is an affine plane, which could be represented by a normal vector
te_0329_c03	te_0329	not_a_requirement	1	An affine line is in an affine plane if and only if the directed vectors of the line are perpendicular to the normal vectors of the plane
te_0329_c04	te_0329	not_a_requirement	1	Vectors are orthogonal if their inner product is $0$
te_0329_c05	te_0329	compound_multipart;vague_qualifier	2	Note that the formula $l·P=0$ is homogeneous. Thus, $l·P=0$ is well defined (i.e. it does not depend on the choice of representatives of $P$ or normal vectors of $l$)
te_0330_c01	te_0330	not_a_requirement	1	Recall that vectors have unique coordinates for a given base
te_0330_c02	te_0330	under_specified	1	Compute $Ue_0$
te_0331_c01	te_0331	compound_multipart	1	The response acknowledges the student's struggles in starting the chapter. Bases the response more on the information from the very beginning of the chapter.
te_0331_c02	te_0331	compound_multipart;not_a_requirement;observational_verdict	3	It is a quotient space. Recall what quotient spaces are
te_0332_c01	te_0332	not_a_requirement	1	Tangle number is a rational number associated to a tangle
te_0332_c03	te_0332	not_a_requirement	1	It can be computed given a nested twist description of your tangle: adding a twist on the right increases the tangle number by 1, and adding a bottom twist changes the tangle number from x to 1/(1 + 1/x)
te_0333_c01	te_0333	not_a_requirement	1	Tangle number can be infinite
te_0333_c02	te_0333	not_a_requirement	1	Tangle type is infinite for a single type of tangle
te_0334_c01	te_0334	not_a_requirement	1	Using the continued fraction representation, one can construct tangle corresponding to a given rational number.
te_0336_c01	te_0336	not_a_requirement	1	Tangle number is an invariant: if two tangles have different numbers then they are different.
te_0336_c02	te_0336	not_a_requirement	1	Tangle number is a complete invariant: two rational tangles are the same if and only if their tangle numbers coincide.
te_0337_c03	te_0337	compound_multipart	1	Show the following derivation: if a = qn+r and b=q'n+r (i.e. a and b are congrudent mod n), then a-b = n(q-q'), so a-b lies in the ideal generated by n
te_0339_c02	te_0339	compound_multipart;not_a_requirement	2	These theorems are useful for proving that the quotient of a ring is a ring when the ideal is prime. This is an important theorem in algebra.
te_0340_c01	te_0340	compound_multipart	1	Identifies and points out to the student that they are mistaken.
te_0340_c03	te_0340	compound_multipart	1	Give an example with polynomials in several variables. For example the ideal generated by x-y is prime but not maximal
te_0340_c04	te_0340	compound_multipart;hedging;not_a_requirement	3	Could explain that non-maximal prime ideals are very important in algebra geometry. The correspond to curves, whereas maximal ideals correspond to points
te_0341_c02	te_0341	not_a_requirement	1	In fact, explain that an ideal in the integers is prime if and only if it generated by a prime number.
te_0342_c01	te_0342	not_a_requirement	1	Remember the binomial formula, and point out that $(4-y)^2$ isn't $16+y^2$
te_0342_c02	te_0342	compound_multipart;not_a_requirement;vague_qualifier	3	There is also a sign error from $16+y^2+y^2=10$ to $2y^2=6$. A good response must find all the mistakes
te_0343_c01	te_0343	not_a_requirement	1	Propose new original problems (no problems from the text)
te_0343_c02	te_0343	not_a_requirement	1	Propose problems of different kind
te_0344_c01	te_0344	not_a_requirement	1	Targets the first part of the exercise, since the student's question is about that part.
te_0344_c05	te_0344	not_a_requirement	1	Recall the general equations of a circle and a hyperbola
te_0344_c06	te_0344	not_a_requirement	1	Recall the canonical equations of circles and hyperbolas and how they are obtained by changing variables
te_0344_c07	te_0344	compound_multipart	1	Note that the question does not assume that both are given in canonical form. We can still, by changing the variables, assume that one is in canonical form, but the other should be written in general form.
te_0345_c01	te_0345	not_a_requirement	1	The easiest way is proof by induction
te_0345_c02	te_0345	not_a_requirement	1	There are also proofs by combinatorial arguments, but they are harder to write down rigorously
te_0346_c01	te_0346	not_a_requirement	1	the question asks to calculate 8 choose 5
te_0346_c02	te_0346	observational_verdict	1	the answer is 56, as stated in the chapter
te_0347_c01	te_0347	compound_multipart;not_a_requirement;observational_verdict	3	This is wrong. Point out that it's false to write 2!\times 5! = (2 \times 5)!
te_0347_c02	te_0347	not_a_requirement	1	Maybe suggest the student check that this is an illegal operation by considering smaller familiar values
te_0348_c01	te_0348	compound_multipart	1	Identifies and points out to the student that they are confused
te_0348_c02	te_0348	compound_multipart;not_a_requirement	2	In this context, a 'set of n elements' can only contain n distinct elements. Repetitions are not allowed
te_0349_c02	te_0349	not_a_requirement	1	n! is the numbers of ways of arranging n objects, and there is only one way of arranging 0 objects
te_0349_c04	te_0349	not_a_requirement	1	The formulation of the binomial theorem is also made simpler by setting 0! = 1
te_0350_c01	te_0350	not_a_requirement	1	Recall that to find divisors, one needs to write down all ways to express 24 as a product of two positive integers.
te_0350_c02	te_0350	not_a_requirement	1	Notice that 12 is missing from the divisors listed in Example 1.
te_0351_c02	te_0351	compound_multipart	1	Explain that 1* 18, 2* 9 and 3*6 are all equal to 18. Hence the list.
te_0352_c01	te_0352	compound_multipart	1	find factors of a number by dividing by prime numbers from 2 up to square root of $n$. Keep repeating the process until we have a prime number left.
te_0353_c01	te_0353	not_a_requirement	1	this is explained in the textbook chapter
te_0354_c01	te_0354	not_a_requirement	1	Have to first work through examples on paper to get used to it.
te_0354_c02	te_0354	under_specified	1	Compute GCF of monomials.
te_0354_c03	te_0354	not_a_requirement	1	Factor boy grouping monomials in groups of 2,3, etc.
te_0355_c01	te_0355	not_a_requirement	1	the question is phrased in a misleading way
te_0355_c02	te_0355	not_a_requirement;vague_qualifier	2	there is no single well-defined procedure of factoring by grouping
te_0355_c03	te_0355	not_a_requirement	1	factoring requires lots of trial and error
te_0356_c01	te_0356	under_specified	1	Answer is (x+6)(x-9).
te_0357_c02	te_0357	not_a_requirement	1	Thus, the question does not make sense.
te_0358_c01	te_0358	not_a_requirement;under_specified	2	Student is confused.
te_0358_c03	te_0358	not_a_requirement	1	Here, we are asked to solve for a.
te_0360_c01	te_0360	not_a_requirement	1	Student has confused parameter with variable.
te_0360_c02	te_0360	compound_multipart;not_a_requirement	2	The letters a,b, and c are parameters for an equation in x. You should think them as placeholders for some specific numbers.
te_0360_c03	te_0360	not_a_requirement	1	When solving ax^2 + bx + c=0, we want to solve x in terms of a,b, and c.
te_0361_c01	te_0361	not_a_requirement;vague_qualifier	2	This the debt analogy directly leads to negative numbers when we formalize transaction, although one can use them fo rdebt as well
te_0362_c01	te_0362	compound_multipart;not_a_requirement	2	First, if two numbers are equal, it is one and the same number! So they actually both have to have the _same_ prime factorization since that is unique for each number
te_0362_c02	te_0362	compound_multipart;not_a_requirement;over_specified	3	The contradiction comes from considering that parity, when we express the numerator and denominator of the rational representation of $\sqrt(2)$ in their prime factorization. If we square $p$ and $q$, expressed in their prime factorization, then the amount of factors in their prime factorization doubles. Since $p^2$ and $2q^2$ represent the same number, they have to have an identical prime factorization - in particular, the prime factorization of both of these same numbers has to have the same parity (either an even or an odd number of factors). Now, $p^2$ has an odd number of factors, so should $2 q^2$ thus, since it is equal to $p^2$. But the number of factors $2q^2$ has is odd, as $q^2$, after squaring has to have an even number of factors. This cannot be, that one and the same number has, depending on how you express it, either an odd or an even number of factors in its prime factorization. This is the contradiction we were looking for
te_0363_c01	te_0363	compound_multipart;not_a_requirement	2	If the number $n$ is a prime number, then proof works indeed analogously since we only made use of the property of $2$ that its prime factorization consists of a single factor - and this is true for any prime
te_0363_c02	te_0363	compound_multipart;hedging;not_a_requirement;over_specified	4	If $n$ is any number except a prime, the proof doesn't work anymore, since the prime factorization of $n$, in that case, will contain more than one factor - it might contain two, as in the case of $6=2\times 3$, in which case the parity of $6q^2$ will be preserved, so we cannot conclude in this case that a parity violation has occurred. Nonetheless, it is still the case that such numbers can be irrational, such as the number $\sqrt(6)$; but the given proof doesn't work anymore in this case
te_0364_c01	te_0364	hedging;not_a_requirement;observational_verdict	3	Yes, since a decimal number is merely a (digit-10) _writing system_ for rational numbers (with potentially infinitely many digits); although they could be written in various other forms too
te_0365_c01	te_0365	not_a_requirement	1	This is the formula to calculate the slope of a line going through two points (x,y), (a, b)
te_0365_c02	te_0365	not_a_requirement	1	Here we set a = 0, as b is the y-intercept of the line
te_0366_c01	te_0366	not_a_requirement	1	the definition of y-intercept and slope-intercept formula
te_0366_c02	te_0366	not_a_requirement;under_specified	2	the point-slope formula
te_0367_c01	te_0367	compound_multipart	1	Identifies and points out to the student that they have made a mistake in calculating the slope
te_0367_c03	te_0367	compound_multipart;vague_qualifier	2	Point out that the student made a typo in calculating the slope. Otherwise the method is good.
te_0367_c04	te_0367	not_a_requirement	1	the correct answer is a=-3/4 and b=-11/4
te_0368_c01	te_0368	not_a_requirement	1	This is not exactly true and the student should be careful
te_0368_c02	te_0368	not_a_requirement	1	If the line is perfectly horizontal, shifting the y-intercept only corresponds to translating the line vertically
te_0368_c03	te_0368	not_a_requirement	1	If the line is not horizontal, the student's claim is true
te_0368_c04	te_0368	not_a_requirement	1	When moving to harder topics like parabollas or sine functions, changing the y-intercept corresponds to shifting vertically but not horizontally
te_0369_c01	te_0369	hedging;not_a_requirement	2	In principle yes - but some individual steps might not be possible, e.g. if the numerator contains a function whose zeros do not have a closed-form expression
te_0370_c01	te_0370	not_a_requirement	1	The fact that this is easy is due to the simplicity of the problem
te_0370_c02	te_0370	compound_multipart;not_a_requirement	2	If the numerator were to contain a much more complicated expression, then this wouldn't be possible
te_0371_c01	te_0371	not_a_requirement;observational_verdict	2	Indeed, what the text presents is a cookbook recipe
te_0371_c02	te_0371	hedging;not_a_requirement	2	From a mathematical perspective it is not necessary to proceed in that way, one could, for example, also start with some of the other steps
te_0373_c01	te_0373	not_a_requirement	1	Relations are sets with special properties and so are functions.
te_0373_c02	te_0373	not_a_requirement	1	Recall the definitions of relations and functions to illustrate.
te_0374_c01	te_0374	not_a_requirement;observational_verdict	2	No, this merely requires you to instantiate the previous definition of the cartesian product
te_0375_c01	te_0375	not_a_requirement	1	Obviously $m \sim_{R} m = m-m=0$ is even, so it is reflexive
te_0375_c02	te_0375	compound_multipart;not_a_requirement	2	If $m \sim_{R} n$, and $n \sim_{R} p$, then $m-n$ and $n-p$ are even. Adding two even numbers results in an even number, so $m-p$ is also even, and hence $m \sim_{R} p$, so the relation is transitive
te_0375_c03	te_0375	compound_multipart;not_a_requirement	2	If $m \sim_{R} n$, then $m-n$ is even; but the negative of this, $-(m-n)=n-m$ is also even, which means that $n \sim_{R} m$, hence the relationship is antisymmetric
te_0375_c04	te_0375	not_a_requirement	1	A reflexive, transitive and antisymmetric relation is and equivalence relation
te_0376_c01	te_0376	compound_multipart;not_a_requirement	2	The equality is false. Take A=D and B and C empty.
te_0376_c02	te_0376	not_a_requirement	1	Bonus: The inclusion from right to left is however true.
te_0377_c01	te_0377	not_a_requirement;observational_verdict	2	Yes, it is possible to explicitly construct the set of integers, out of the set of natural numbers
te_0377_c02	te_0377	not_a_requirement	1	The set of natural numbers can be rigorously constructed from a given foundational system of axioms, such as ZFC
te_0378_c01	te_0378	not_a_requirement	1	The limit of the convergent subsequence is the limit of the Cauchy sequence.
te_0379_c01	te_0379	not_a_requirement	1	The proof does not work.
te_0379_c02	te_0379	not_a_requirement	1	Have to first extract a subsequence of $(x_k)_{k=1}^\infty$ along indices $(k_i)_{i=1}^\infty$ and, later, a subsequence of $(y_{k_i})_{i=1}^\infty$.
te_0380_c01	te_0380	compound_multipart	1	Point out a counter-example. For instance, the real numbers with the Euclidean metric are complete but not compact.
te_0381_c01	te_0381	not_a_requirement;observational_verdict	2	No, since elements in a set are not allowed to repeat eachother
te_0382_c01	te_0382	not_a_requirement	1	$P$ is the symbol that denotes any specified property that $x$ needs to satisfy
te_0382_c02	te_0382	not_a_requirement	1	Simply stating this in words is non-rigorous; but making it rigorous is cumbersome, since an entire formal apparatus needs to be set up, by carefully defining a formal language, and showing how $P$ can be constructed in this language
te_0383_c01	te_0383	compound_multipart;not_a_requirement;over_specified	3	The first given example is $(\forall n \in N)(\exists m \in N) \hskip 5pt m > n$. This is true because for any $n$ you would pick, you can think of an $m$ that satisfies the mentioned condition, i.e., that is bigger than $n$; for example, if you pick $n=123$, you can think of $m=321$ which is greater than $123$
te_0383_c02	te_0383	compound_multipart;not_a_requirement;over_specified	3	The second example is $(\exists m \in N)(\forall n \in N) \hskip 5pt m > n$. If such an $m$ would exist, it would have to be bigger than any other number $n$. But what if we choose $n=m+1$? Our $m$ would have to satisfy $m > m+1$. But this is false. Hence the statement cannot be true
te_0384_c01	te_0384	not_a_requirement	1	First terms are all zero.
te_0384_c02	te_0384	not_a_requirement	1	Integral term is equal to the original function.
te_0385_c01	te_0385	not_a_requirement	1	Write $f''$ as an integral in $f'''$.
te_0385_c02	te_0385	not_a_requirement	1	For the general case: use integration by part on the integral term by choosing to differentiate once more the f^{(n+1)} factor in the integrand.
te_0386_c01	te_0386	not_a_requirement	1	Systematic way to compute an approximation by polynomials.
te_0388_c01	te_0388	not_a_requirement	1	The notation $\lim_{n \to \infty } x_n = c$ says that the sequence $(x_n)$ gets arbitrarily closer to $c$ when $n$ becomes very large.
te_0389_c01	te_0389	negation_double	1	Explain that we're not allowed to assume that the sequence $(x_n)$ has a limit without further explanation
te_0389_c02	te_0389	hedging;not_a_requirement	2	Could note that sequences of rational numbers don't always converge to rationals, so we need to use extra properties of the real numbers for this proof to go through.
te_0390_c01	te_0390	not_a_requirement	1	This notation means that f(x) becomes very negative when x approaches 0 from above
te_0391_c01	te_0391	not_a_requirement	1	$log_b$ is the inverse function of $b^{x}$.
te_0391_c02	te_0391	hedging;not_a_requirement	2	The teacher could give several different explanations for this
te_0391_c03	te_0391	compound_multipart;hedging;not_a_requirement	3	the teacher could explain that when b < 1, raising b to a bigger power results in a smaller number. So b^{x} is decreasing. As log_b(x) is the inverse, it is also decreasing
te_0391_c04	te_0391	compound_multipart;not_a_requirement;over_specified	3	A more technical and complete explanation: when b < 1, note that $b^{x}$ can be written as $(1/c)^{x} where $c > 1$. A moment's thought shows that the inverse of this function is $log_c(1/x) = - log_c(x)$. Therefore the graph of $log_b$ looks like the graph of $log_c$ flipped around the $y$ axis.
te_0391_c05	te_0391	compound_multipart;not_a_requirement	2	a helpful way of explaining this in simpler terms is to write down a table of values of exponentiations of 1/2 and then flip the table. It's then clear that $log_{1/2}$ is decreasing
te_0392_c01	te_0392	not_a_requirement	1	$log_b$ is the inverse of $b^{x}$
te_0392_c02	te_0392	not_a_requirement	1	the log is defined on $(0, \infty)$ and has range $(-\infty, \infty)$
te_0392_c03	te_0392	not_a_requirement;under_specified	2	$log_b(1)=0$ and $log_b(b)=1$
te_0392_c04	te_0392	not_a_requirement	1	When $b > 1$, $log_b(x) \to -\infty$ as $x \to 0^+$ and $log_b(x) \to \infty$ as $x \to \infty$
te_0392_c05	te_0392	compound_multipart;not_a_requirement	2	When $b < 1$, we swap the limits. The graph is the negative of the graph for $1/b$
te_0394_c01	te_0394	compound_multipart;not_a_requirement;over_specified;vague_qualifier	4	This question is not well posed, since you are not given multiple integrals typically, but a single integral, to evaluate. The subsequent integral that arises in the computation obviously should all be defined on the same interval - otherwise even adding the integral does not make sense (supposing you use the version of integration by parts that pertains to definite integration)
te_0395_c01	te_0395	compound_multipart;not_a_requirement;observational_verdict	3	Yes, that is possible, and with induction, you can define a version of integration by parts for every $n$, where you differentiate $n$ times. But in practice, such formulas come up rarely
te_0396_c01	te_0396	not_a_requirement	1	This is indeed a quick strategy
te_0396_c02	te_0396	not_a_requirement	1	Should provide the same formula as the one found in Example 1.7.11 but with minimal effort.
te_0397_c01	te_0397	compound_multipart;not_a_requirement;over_specified	3	To both! It depends on what kind of integrals you start with, and how you understand the formula from the beginning, $\int \frac{d}{dx}\left( F(x) \right) \, d{x} = F(x)+C$ whether it pertains to definite or indefinite integrals (there exist versions for both). The proof that was subsequently presented is identical in both cases, just relies on different versions of this mentioned formula
te_0397_c02	te_0397	compound_multipart;not_a_requirement;over_specified	3	Establishing the formula $\int \frac{d}{dx}\left( F(x) \right) \, d{x} = F(x)+C$ for definite integrals requires a lot more work that for the indefinite integral. In this case, when proving integration by parts, one needs to be careful about the assumptions, i.e. that the products of the derivative with the function are actually Riemann-integrable, so that the definite integral makes sense (this is not mentioned in the book)
te_0398_c01	te_0398	not_a_requirement	1	By considering Riemann integration, the limit is the integral of $(2x-1)e^{2x-1}$ between $0$ and $1$.
te_0398_c02	te_0398	not_a_requirement	1	Can apply integration by part with $u(x)=2x-1$ and $v(x)=e^{2x-1}$.
te_0399_c01	te_0399	not_a_requirement	1	The integrand can be written as a product of two simpler functions one of which has a known antiderivative.
te_0399_c02	te_0399	not_a_requirement	1	The integrand has no obvious antiderivative.
te_0399_c03	te_0399	not_a_requirement	1	There are other reasons valid in more specific situations.
te_0400_c01	te_0400	not_a_requirement	1	This is one of the fundamental theorems of analysis.
te_0400_c02	te_0400	compound_multipart;not_a_requirement;over_specified	3	"For it to make sense, $F$ needs to be differentiable on the entire interval, if $F$ denotes a definite integral. Unfortunately, the notation in this part of mathematics is ambiguous and the integral sign without specifying an integration can also denote the antiderivative (also called ""indefinite integral""); in this case, that formula is just a tautology"
te_0401_c01	te_0401	not_a_requirement	1	Then you cannot apply the integration by parts formula
te_0401_c02	te_0401	not_a_requirement	1	This formula is not a way to help you integrate _every_ possible function you come along, but simply a tool that makes it easier to integrate _some_ functions - namely those for which you can find appropriate $u$ and $v$
