bucket	criterion_id	decision	before	after	rationale																		11
not_a_requirement	te_0206_c01	drop	"in the chapter example, the body of the function is one line long"	X	"This is a bare observation about the textbook example, not a checkable requirement on the tutor's response."																		
not_a_requirement	te_0206_c02	reword	"however, the chapter also mentions that the body of a function can be multiple lines long"	"States that a function body can be multiple lines long, not just one line."	Reframed the observation into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0206_c03	reword	"therefore, the body of a function can be one line long or multiple lines long"	States that a function body can be one line long or multiple lines long.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0206_c04	reword	"further, because the chapter mentions that the function only stops when it reaches a return statement, it means that the execution of the function can be stopped at any point in the function body, no matter how long the function body is"	"Explains that a function stops executing when a return statement is reached, regardless of how many lines the function body has."	"Reworded into a positively framed requirement on the tutor's response, removing the meandering restatement while preserving the meaning."																		
not_a_requirement	te_0207_c01	reword	"if you don't write a return statement, the function will return None by default"	States that a function without a return statement returns None by default.	Reframed the bare fact into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0207_c02	reword	"therefore, you don't need to write a return statement if you want the function to return None"	States that a return statement is not required when you want the function to return None.	Reframed the bare statement into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0208_c01	reword	return statement returns a value from a function	Explains that the return statement passes a value back from the function to the calling code.	Reframed the bare fact as a positively framed requirement on the tutor's explanation.																		
not_a_requirement	te_0208_c02	reword	the value can be used in other parts of the program	Explains that the value produced by a return statement is handed back to the calling code and can be used elsewhere in the program.	Reframed the bare fact as a positively-framed requirement on the tutor's explanation.																		
not_a_requirement	te_0209_c01	reword	"in the provided example, the decision tree is written as a function"	Provides an example in which a decision tree is written as a function.	Reworded the observation into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0209_c02	reword	typical decision trees follow a set of rules to make decisions	States that decision trees follow a set of rules to make decisions.	Reframed the bare fact as a positively-framed requirement on the tutor's response.																		
not_a_requirement	te_0209_c03	flag_for_human	"on the other hand, functions also follow a set of rules to make decisions"	"Explain that functions, like decision trees, also follow a set of rules to make decisions."	"This is a sentence fragment stating a fact, not a checkable requirement on the tutor's response; it cannot be salvaged by rewording without inventing scope."																		
not_a_requirement;observational_verdict	te_0210_c01	reword	"yes, but being binary is the most common case"	Confirms that a decision tree node can have more than two outcomes while noting that binary splits are the most common case.	Converted the bare verdict into a requirement on the tutor's response stating the confirmation and the caveat.																		
not_a_requirement	te_0210_c02	drop	binary decision trees support more splitting criteria than non-binary decision trees	X	"The embedded claim appears factually wrong and is a content assertion rather than a requirement on the tutor's response, so it needs human review."																		
not_a_requirement	te_0210_c03	drop	binary decision trees are also easier to implement	X	"This is a bare fact fragment, not a checkable requirement on the tutor's response, and cannot be salvaged without inventing scope."																		
not_a_requirement	te_0210_c04	drop	"any non-binary decision tree can be converted to a binary decision tree, therefore the more generalized case is binary decision decision trees"	X	"The embedded claim is questionable/misframed (a non-binary tree being convertible to binary does not make binary 'the more generalized case'), so a human should verify the factual content before it becomes a requirement."																		
not_a_requirement	te_0211_c01	reword	an ensemble of decision trees is called a random forest	States that an ensemble of decision trees is called a random forest.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0211_c02	reword	a random forest is a collection of decision trees that are trained on different subsets of the training data	States that a random forest is an ensemble of decision trees trained on different subsets of the training data	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0211_c03	reword	the final prediction is made by taking the average of the predictions of all the decision trees in the random forest	States that the random forest's final prediction is made by averaging the predictions of all its decision trees.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0212_c01	reword	a decision tree is a tree with multiple levels	States that a decision tree is a tree that can have multiple levels of decision nodes.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0212_c02	reword	a decision stump is a tree with only one level	States that a decision stump is a decision tree with only one level (a single split).	Reframed the bare fact as a positive requirement on the tutor's response.																		
not_a_requirement	te_0212_c03	reword	a decision stump is a special case of a decision tree	States that a decision stump is a special case of a decision tree.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0212_c04	reword	a decision stump is usually used as a baseline model to compare with other models	States that a decision stump is often used as a baseline model for comparison with other models.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0213_c01	reword	the decision tree is overfitting the training data	States that a deep tree with 100% training accuracy is overfitting the training data.	Reframed the bare observation into a positively framed requirement on the tutor's response.																		
not_a_requirement;vague_qualifier	te_0213_c02	reword	the decision tree is not generalizing well to unseen data	States that a decision tree with 100% training accuracy is overfitting and will generalize poorly to unseen data	Reframed the bare observation into a positively framed requirement on the tutor's response identifying overfitting/poor generalization.																		
not_a_requirement	te_0213_c03	reword	"the decision tree is not learning the underlying pattern of the data, but rather memorizing the training data"	"Explains that a deep tree with 100% training accuracy memorizes the training data rather than learning the underlying pattern, i.e. overfitting."	Reframed the bare observation into a positive requirement on the tutor's explanation.																		
not_a_requirement	te_0213_c04	reword	this usually causes the decision tree to perform poorly on the test data	States that such a decision tree usually performs poorly on the test data (overfitting).	Reframed the observation as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0214_c01	reword	The resistance decreases when increasing the cross-sectional area	"Explains that adding resistors in parallel increases the effective cross-sectional area for current flow, which decreases resistance."	Reframed the bare fact as a requirement on the tutor's explanation tied to the parallel-resistance question.																		
not_a_requirement	te_0215_c01	reword	The product sum rule only works for two resistors.	States that the product-sum rule only works for two resistors.	Reframed the bare fact as a positive requirement on the tutor's response.																		
not_a_requirement	te_0215_c02	reword	"For three resistors, the formula is more complicated ($R_{Parallel} = \frac{R_1 R_2 R_3}{R_1 R_2 + R_1 R_3 + R_2 R_3}$)"	"States that for three resistors in parallel, the equivalent resistance is $R_{Parallel} = \frac{R_1 R_2 R_3}{R_1 R_2 + R_1 R_3 + R_2 R_3}$."	Reframed the bare formula statement as a positively framed requirement on the tutor's response.																		
hedging;not_a_requirement	te_0216_c01	reword	"If the voltage sources have different voltages, it could result in damage to the sources, since they would try to maintain different voltage across a parallel connection which requires a constant potential difference"	"Explains that connecting two voltage sources with different voltages in parallel can damage the sources, because each tries to impose a different potential difference across the same connection."	Removed the hedge 'could' and framed it as a firm requirement on the tutor's explanation while preserving the physics content.																		
not_a_requirement	te_0216_c02	reword	"If they have the same voltage, it can extend their operational life"	"States that if the two voltage sources have the same voltage, connecting them in parallel can extend their operational life."	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
hedging;not_a_requirement	te_0217_c01	reword	"This may be true in some cases, but is not true in all cases"	"Corrects the student's inference by stating that zero charge density means the electric field has zero slope (constant field), not necessarily zero field."	Removed hedging and turned the observation into a firm requirement on the tutor's response that states the correct physics.																		
compound_multipart;hedging;not_a_requirement	te_0217_c02	reword	"When the charge density is zero, the inward and outward flow of the electrical field across an infinitesimal closed surface must be zero. For example, the field could be constant in a uniform direction."	"Explains that when charge density is zero the divergence (net flux through an infinitesimal closed surface) of E is zero, which allows a nonzero constant field rather than requiring zero field."	Removed hedging ('could') and folded the illustrative example into a single self-contained requirement on the tutor's explanation.																		
not_a_requirement	te_0218_c01	reword	Either plug in units in definition $D = \epsilon E$ or in Gauss' law $\oint D \cdot dS = Q_{encl}$ to derive units of $D$	Derives the units of D as Coulombs per cm squared by substituting units into either D = εE or Gauss's Law ∮D·dS = Q_encl.	Reframed as a positive checkable requirement on the tutor's response while preserving both allowed derivation paths.																		
not_a_requirement	te_0219_c01	reword	The net charge enclosed by the closed surface	States that Q_encl stands for the total (net) charge enclosed by the closed surface.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0220_c01	reword	"The circle means that the integral is over a closed surface, for example a sphere."	"States that the circle on the integral sign indicates the integral is taken over a closed surface, such as a sphere."	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0222_c02	reword	R is 50 because the question is concerning the current leaving through the 50ohm resistor.	Explains that R takes the value 50 in that term because it refers to the current leaving through the 50 ohm resistor.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0223_c01	reword	Amperes takes negative value when it is in the opposite direction of positive flow indicated by the circuit diagram.	Explains that current takes a negative value when it flows opposite to the direction assumed as positive in the circuit diagram.	Reframed the bare fact as a requirement on the tutor's explanation.																		
not_a_requirement	te_0224_c02	reword	Shannon entropy is maximized when all symbols are equally probable.	States that Shannon entropy is maximized when all symbols are equally probable.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
compound_multipart	te_0225_c01	flag_for_human	Identifies and points out to the student that they are confused about a key concept.	Acknowledges the student's expressed difficulty or struggle with the material.	"This grades a claim about the student's mental state rather than a checkable substantive action on the tutor's response, and cannot be salvaged by rewording without inventing scope."																		
compound_multipart;not_a_requirement;over_specified	te_0225_c02	flag_for_human	"The statement is saying that if you have the optimal code for M-1 letters and you want to add a new letter, you can do so by aggregating the two least likely symbols. This means combining the two symbols with the lowest frequencies into a single node in the binary tree, and then adding the new letter as a new node."	"Explains that the principle reduces the M-symbol problem to the M-1-symbol problem by aggregating (merging) the two least-likely symbols into one combined symbol, rather than adding a new letter to an M-1 code. ||| Explains that the two least-likely symbols are merged into a single parent node whose probability is the sum of theirs, and that the optimal code for the resulting M-1 symbols is embedded in the optimal M-symbol code."	"The embedded explanation misdescribes Huffman's principle of optimality (it reverses the aggregation direction and adds an incorrect 'add a new letter as a new node' step), so the content appears factually wrong and should not be rewritten."																		
compound_multipart	te_0226_c01	flag_for_human	Identifies and points out to the student that they are confused.	Acknowledges the student's expressed difficulty or struggle with the material.	"Requiring the tutor to point out that the student is confused is not a substantive tutoring requirement and risks penalizing a helpful, non-condescending explanation; a human should decide."																		
compound_multipart;not_a_requirement	te_0226_c02	split	"A composite symbol is a sequence of individual symbols. In this case, the composite symbol is made up of nine individual symbols (M=9)"	States that a composite symbol is a sequence of individual source symbols concatenated together. ||| Identifies that the example composite symbol is made up of nine individual symbols (M=9).	Bundles two independent checkable facts—the definition of a composite symbol and the M=9 count for the example—so split into atomic requirements framed as tutor actions.																		
not_a_requirement	te_0226_c03	reword	The 5^M comes from the number of possible composite symbols that can be generated.	Explains that 5^M is the number of possible composite symbols that can be generated from blocks of M source symbols.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0227_c01	reword	Shannon capacity is the maximum rate at which information can be transmitted over a channel with arbitrarily small probability of error	States that Shannon capacity is the maximum rate at which information can be transmitted over a channel with arbitrarily small probability of error.	Converted the bare fact into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0227_c02	flag_for_human	Redundancy and error-correcting code can be used to perfectly recover signal from noisy channels.	"Explains that reliability is achieved by adding redundancy (error-correcting codes) across long blocks of bits, driving the error probability arbitrarily low at any rate below the channel capacity."	"The embedded claim that redundancy/error-correcting codes 'perfectly recover' signals is factually problematic given the student's 50%-flip example (a binary symmetric channel with p=0.5 has zero capacity and permits no reliable recovery), so a human should decide."																		
compound_multipart;hedging;not_a_requirement	te_0227_c03	drop	"In the student's proposed situation, one possible solution is that, instead of sending each bit once, we could send each bit three times. Other more sophisticated codings would also work."	X	"The embedded claim is factually wrong: at a 50% bit-flip rate (channel capacity zero) repetition coding cannot achieve error-free recovery, so this cannot be salvaged by rewording."																		
compound_multipart;not_a_requirement;vague_qualifier	te_0228_c01	split	"A good answer should list some real-world scenarios where channels are corrupted. It should also explain how the signal corruption takes place in plain, easy-to-understand language."	"Lists real-world scenarios in which a communication channel corrupts a signal. ||| Explains how the signal corruption takes place in plain, easy-to-understand language."	"Bundles two independent tutor actions (listing scenarios and explaining the mechanism), so split into atomic requirements and remove the vague 'good answer' framing."																		
hedging;not_a_requirement	te_0229_c01	reword	"Potential examples could be 3D image of spatial variables height, width, and depth."	"Provides an example of a signal depending on more than two spatial variables, such as a 3D image with height, width, and depth."	Removed hedging and framed it as a firm requirement on the tutor to provide such an example.																		
hedging;not_a_requirement;vague_qualifier	te_0230_c01	flag_for_human	"A good answer could include but not limited to bandlimited, finite duration, time-invariant, noiseless, etc."	"Mentions at least one of these important characteristics:  bandlimited, finite duration, time-invariant, noiseless."	"This is an open-ended non-exhaustive 'could include' list with hedging and no firm checkable requirement, so a human should decide which characteristics are actually required."																		
not_a_requirement;vague_qualifier	te_0231_c01	split	A good answer should be well-formatted and include both in-chapter and out-of-chapter differences.	States at least one difference between discrete-time and analog signals that is mentioned in the chapter. ||| Includes at least one difference between discrete-time and analog signals that is not mentioned in the chapter.	Bundles two independent content requirements; the vague 'well-formatted' qualifier is dropped as ungradeable.																		
compound_multipart;not_a_requirement	te_0231_c02	split	"The chapter mentions (1) discrete-time signals are defined on integers, while analog signals are defined on the continuous space. (2) Discrete-time signals are more general."	"States that discrete-time signals are defined on the integers, while analog signals are defined on continuous variables such as space and time. ||| States that discrete-time signals are more general than analog signals."	"Two independent factual differences are bundled, so split into atomic requirements framed on the tutor's response."																		
not_a_requirement;vague_qualifier	te_0231_c03	drop	A good answer should also talk about differences between the two types of signals outside of this chapter's content	X	"This is an optional 'could' nicety that contradicts the student's request to summarize differences 'mentioned in this chapter,' making it an unsuitable and unsalvageable requirement."																		
compound_multipart;hedging;not_a_requirement;vague_qualifier	te_0232_c01	flag_for_human	"The complex exponential sequence is special for multiple reasons. A good answer could include its ability to represent any frequency in the discrete-time domain, its forming a basis for Fourier Transform, its linearity, etc."	"Provides at least one reason for the complex exponential sequence being special: including its ability to represent any frequency in the discrete-time domain, its forming a basis for Fourier Transform, its linearity."	"This is an open-ended list of optional possibilities ('could include') with no firm gradeable requirement, so a human should decide what to require."																		
compound_multipart;not_a_requirement	te_0232_c02	flag_for_human	The complex exponential sequence can take multiple forms. Make sure that the answer matches exactly with the one provided in the chapter.	The answer provided references the form that is provided in the text prompt.	"This is a meta-instruction to match the chapter text rather than a checkable requirement on the tutor's response, and it references the source rather than stating a substantive requirement."																		
not_a_requirement	te_0233_c02	reword	The information plot is with respect to the probability p.	States that the information value is plotted as a function of the probability p.	Reframed the bare observation into a positively framed requirement on the tutor's response.																		
compound_multipart;not_a_requirement	te_0233_c03	reword	"If p is fixed, then the value of information (I) is also determined. So it would corresponds to a point in the graph."	"Explains that for a fixed value of p the information I is determined, corresponding to a single point on the graph."	"Reframed the observation as a positive requirement on the tutor's response, preserving the substantive content."																		
not_a_requirement	te_0234_c02	reword	The information is with respect to the probability p instead of realization of symbols.	"Clarifies that the information quantity is a function of the probability distribution p, not of the specific symbol realizations."	Reframed the bare observation into a checkable requirement on the tutor's response.																		
compound_multipart	te_0235_c02	reword	"Identifies and points out to the student that they make a mistake in this formulation. The probability of a specific symbol (i.e., a specific real number) occurring is technically zero."	Points out that the formulation is flawed because the probability of any specific real number occurring is zero for a continuous distribution.	Merged the redundant identify/point-out phrasing into one requirement on the tutor's response.																		
compound_multipart;hedging;not_a_requirement;vague_qualifier	te_0235_c03	drop	"Therefore there is no good answer to this quesetion. A potential good answer could suggest the student to explore other concepts such as entropy, and explain how entropy is related to and different from information."	X	"This is an optional 'could suggest' nicety plus a meta-claim that there is no good answer, not a firm checkable requirement on the tutor's response."																		
not_a_requirement	te_0236_c01	reword	The last equality is the term of the left $\frac{1}{R_{1}}+\frac{1}{R_{2}}$ brought to a common denominator by multiplying both the nominator and denominator by $R_1 R_2$.	Explains that the last equality is obtained by combining $\frac{1}{R_1}+\frac{1}{R_2}$ over the common denominator $R_1 R_2$ to get $\frac{R_1+R_2}{R_1 R_2}$.	Reframed the bare explanation into a positively framed requirement on the tutor's response.																		
not_a_requirement;observational_verdict	te_0237_c01	reword	"No, charge accumulates on the capacitor plates but can not flow across the capacitor"	States that current does not flow across an ideal capacitor because charge accumulates on the plates rather than passing across.	Reframed the bare answer into a positive requirement on the tutor's response while preserving the physics content.																		
not_a_requirement	te_0237_c02	reword	Current can flow to charge the capacitor plates when the voltage changes	"Explains that no current flows across the capacitor, but current can flow in the circuit to charge or discharge the plates when the voltage changes."	Reframed the bare fact as a requirement on the tutor's response and clarified that current does not cross the ideal capacitor itself.																		
compound_multipart;not_a_requirement	te_0238_c01	reword	"Re-arrange $L = \frac{e_{1}-e_{2}}{\frac{d i}{d t}}. The units of $e$ are V, the units of $i$ are A, the units of $\frac{d i}{d t}$ are A/s."	"Derives the henry's SI units by rearranging $L=(e_1-e_2)/(di/dt)$, noting voltage is in volts and $di/dt$ is in amps per second."	Reworded into a single positively-framed requirement on the tutor's derivation of the henry's units.																		
not_a_requirement	te_0238_c02	reword	"Therefore, the units of L are H = V/(A/s) = Vs/A, or in terms of SI base units 1 H = 1 kg m^2/A^2/s^2"	"States that the henry equals V·s/A, and in SI base units 1 H = 1 kg·m²/(A²·s²)."	Reframed the bare fact into a positively framed requirement on the tutor's response while preserving the unit content.																		
not_a_requirement	te_0239_c01	reword	"When $\omega=0$, the frequency response is 1"	States that at $\omega=0$ the magnitude ratio $E_o/E_i$ equals 1.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0239_c02	reword	"When $\omega \rightarrow \infty$, the frequency response approaches 0"	"States that as ω approaches infinity, the frequency response magnitude ratio approaches 0."	Reframed the bare fact as a positive requirement on the tutor's response.																		
not_a_requirement	te_0240_c01	reword	The units of capacitance are Farad (F).	States that the units of capacitance are Farads (F).	Reframed the bare fact into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0240_c02	reword	1 F = 1 As/V or 1 C/V	"States that the unit of capacitance is the farad, where 1 F = 1 C/V (equivalently 1 A·s/V)."	Reframed the bare fact into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0241_c01	reword	The capacitance measures the ability of a capacitor to store charge.	States that capacitance measures a capacitor's ability to store charge.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0241_c02	reword	"The higher the capacitance, the more charge can be stored for a given voltage."	States that a higher capacitance means more charge can be stored for a given voltage.	Reframed the bare fact into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0242_c01	flag_for_human	This is a more technical term of stating the same thing	"Inform the user that their understanding is on the right track, the textbook's description is just more technically worded."	"This is a bare observation, not a checkable requirement on the tutor's response, and cannot be salvaged into a gradeable action without inventing new scope."																		
not_a_requirement	te_0242_c02	reword	"When the text talks about the operator that maps input to output commutes with the time-shift operator, it means that the order of those two operations does not matter."	"Explains that time invariance means the system operator and the time-shift operator commute, so applying them in either order gives the same result."	Reframed the observation into a positive requirement on the tutor's explanation.																		
hedging;not_a_requirement	te_0243_c01	reword	"Not necessarily, since the system is only BIBO if the output is bounded for all possible bounded input signals"	"States that a single sinusoidal input-output pair does not establish BIBO stability, which requires the output to be bounded for all bounded inputs"	Removed hedging ('not necessarily') and framed it as a checkable requirement on the tutor's response while preserving the physics content.																		
not_a_requirement	te_0244_c01	reword	"It means that the integral is finite, and does not diverge to infinity."	Explains that the condition means the integral evaluates to a finite value and does not diverge to infinity.	Reframed the bare statement as a positive requirement on the tutor's response.																		
not_a_requirement	te_0245_c01	reword	The eigenfunction is e^{s t}.	States that the eigenfunction is the complex exponential e^{st}.	Reframed the bare fact as a positive requirement on the tutor's response.																		
not_a_requirement	te_0245_c02	reword	"When we apply the operator H to the eigenfunction, we get the same eigenfunction back, but multiplied by a constant $\lambda_s$"	Explains that applying the operator H to the eigenfunction returns the same function scaled by the constant eigenvalue $\lambda_s$.	Reframed the bare statement as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0247_c02	reword	Chance events affect a larger fraction of the gene pool for smaller populations than larger populations.	Explains that chance events affect a larger fraction of the gene pool in smaller populations than in larger populations.	Reframed the bare fact into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0248_c01	reword	Crossing over does not introduce new alleles into a gene pool.	States that crossing over does not introduce new alleles into a gene pool.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0248_c02	reword	Crossing over can increase genetic diversity by changing which alleles are on a particular chromosome	Explains that crossing over can increase genetic diversity by changing which alleles are on a particular chromosome	Reframed the bare fact into a positively framed requirement on the tutor's response.																		
compound_multipart	te_0251_c01	reword	Identifies and points out to the student that they are confused about the distinction between sympatric and allopatric speciation.	Acknowledges that the student is confused about the distinction between sympatric and allopatric speciation.	Removed redundant paired verbs and framed it as a single checkable requirement on the tutor's response.																		
compound_multipart;hedging	te_0257_c01	flag_for_human	Identifies and points out to the student that they might be confused about these concepts.	Acknowledge the student's efforts in trying to understand the content.	"The criterion assumes the student is confused, which is speculative and hedged; the student merely asked for a comparison, so this is not a checkable requirement on the tutor's response."																		
not_a_requirement	te_0258_c01	reword	Understanding the historical patterns of natural cycles helps to identify the differences	Explains that examining historical patterns of natural cycles helps distinguish human-caused warming from natural variation.	Reframed the student-focused observation into a positively framed requirement on the tutor's response.																		
compound_multipart;not_a_requirement;observational_verdict	te_0259_c01	split	"This is correct. Note that CO2, CH4, and N2O are more substantially affected by direct human emissions, not water vapor."	"Confirms that the student's statement is correct. ||| Points out that CO2, CH4, and N2O are substantially affected by direct human emissions, unlike water vapor."	The criterion bundles a verdict confirmation and a distinct clarification about human-emitted gases into two atomic tutor requirements.																		
observational_verdict;under_specified	te_0260_c01	reword	The answer is N2O.	Identifies N2O as the greenhouse gas with the more negative impact of CH4 and N2O.	Reframed the bare verdict into a checkable requirement on the tutor's response naming N2O.																		
not_a_requirement	te_0262_c01	flag_for_human	"Demand can't be changed, so we can think about alternative supply sources."	Provides at least one alternative for reducing water use.	"This is a debatable/likely-incorrect assertion (demand for water can in fact be reduced) rather than a checkable requirement on the tutor's response, and it contradicts the student's question about reducing usage."																		
not_a_requirement	te_0263_c01	reword	Think about both technological and economical barriers.	Explains both technological and economic barriers to utilizing ocean water resources.	Converted the meta-instruction into a checkable requirement on the tutor's response content.																		
hedging	te_0265_c01	reword	"Note that pollutants are not necessarily related to health, but could be associated with other factors, such as cost."	States that water pollutants are not necessarily defined by health effects but can cause harm through other factors such as cost or equipment damage.	"Removed hedging ('not necessarily', 'could') and framed as a firm requirement on the tutor's response."																		
not_a_requirement	te_0266_c02	flag_for_human	Need to clarify the logical chain of eutrophication.	Clarifies the logical chain of eutrophication for the student.	"This is a meta-note about what the tutor should do, not a checkable, self-contained requirement on the response content."																		
not_a_requirement	te_0267_c02	flag_for_human	The objective of a treatment plant should meet the current needs	Explain that the objective of a treatment plan can vary based on current needs.	"The criterion is vague and not a checkable requirement on the tutor's response, and cannot be salvaged by rewording."																		
not_a_requirement	te_0269_c01	flag_for_human	The question is not about 'how' but 'why'.	"Focuses on the ""why"" aspect, does not dive deep into the details ""how"" it is done."	"This is an observation about the question, not a checkable requirement on the tutor's response, and cannot be salvaged by rewording."																		
not_a_requirement	te_0269_c02	reword	It's important to remind the student about the difference between combined and separated treatment systems.	Explains the difference between combined and separated sewer treatment systems.	Reframed the meta-instruction into a checkable requirement on the tutor's response.																		
compound_multipart;not_a_requirement;observational_verdict	te_0270_c01	reword	"This is true. There are other types, such as grey, blue H2."	Confirms that there are other types of hydrogen and identifies grey and blue hydrogen as examples.	Converted the bare verdict into a requirement on the tutor to confirm and name the other hydrogen types.																		
not_a_requirement	te_0270_c02	reword	The color prefix means how environmental friendly the H2 is produced.	States that the color prefix indicates how environmentally friendly the hydrogen production method is.	Reframed the bare fact as a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0271_c01	flag_for_human	This is an open-end question.	Focuses on considering possibilities rather than trying to get a concrete correct answer.	"This is a bare observation about the question type, not a checkable requirement on the tutor's response, and cannot be salvaged by rewording."																		
not_a_requirement	te_0271_c02	flag_for_human	Think about the applicable scenarios to utilize the two types of fuels.	Explains to the student some different scenarios where the two different types of fuel would be used. 	"This is an instruction/prompt directed at the student, not a checkable requirement on the tutor's response, and cannot be salvaged by rewording without inventing new substance."																		
not_a_requirement	te_0272_c01	flag_for_human	"Think about the whole life cycle, from sources, production, transportation, and applications."	"Considers the whole life cycle in the response, from sources, production, transportation, to applications."	"This is a suggestion/thinking prompt, not a checkable requirement on the tutor's response, and cannot be salvaged by rewording without inventing new scope."																		
not_a_requirement	te_0273_c01	flag_for_human	Knowing the advantages of smart grid and main issue of traditional electricty grids is the key.	Addresses the advantages of smart grid and main issue of traditional electricity grids in the response.	"This is a vague meta-statement about what matters, not a checkable requirement on the tutor's response, and cannot be salvaged without inventing new scope."																		
not_a_requirement	te_0274_c01	flag_for_human	"This depends on many factors, such as demands, countries, and policy."	"Explains to the student that depends on many factors, including demands, countries, and policy."	"This is a bare observation, not a checkable requirement on the tutor's response, and cannot be reworded without inventing new scope."																		
not_a_requirement	te_0275_c01	reword	The key lies in considering the service availability.	Explains that grid reliability can be quantified in terms of service availability.	Reframed the bare observation into a checkable requirement on the tutor's response.																		
not_a_requirement	te_0277_c01	flag_for_human	There is no such criteria to determine the importance	Inform the user that there is no concrete way to determine this (subjective).	"This is a meta-comment asserting no gradeable criteria exists, not a checkable requirement on the tutor's response; a human should decide its intent."																		
not_a_requirement	te_0277_c02	flag_for_human	Think about the hierarchy of waste management and why prevention is on the top.	"Describe the hierarchy of waste management, including some focus on prevention"	"This is a suggestion directed at the student, not a checkable requirement on the tutor's response, and cannot be salvaged by rewording without inventing content."																		
compound_multipart;not_a_requirement;observational_verdict	te_0279_c01	reword	"Yes, it's possible. In fact, they are already many examples in application."	Confirms that AI can help improve solid waste management and states that real-world applications already exist.	Converted the bare verdict into a positively framed requirement on the tutor's response.																		
not_a_requirement	te_0279_c02	flag_for_human	Think about the sensorable properties of solid waste and the overall objectives.	Describes the sensorable properties of solid waste and the overall objectives.	"This is a vague brainstorming prompt to the student, not a checkable requirement on the tutor's response, and cannot be salvaged by rewording without inventing new content."																		
not_a_requirement	te_0280_c01	flag_for_human	This depends on the type of hazardous waste and the needs of pretreatment.	Mentions how the types and pretreatment for hazardous ways can differ.	"This is a fragmentary observation, not a checkable requirement on the tutor's response, and cannot be salvaged by rewording without inventing scope."																		
not_a_requirement	te_0280_c02	flag_for_human	Think about how to convert hazardous to non-hazardous.	Describes how to convert hazardous waste to non-hazardous waste.	"This is a suggestion for student thinking, not a checkable requirement on the tutor's response, and cannot be salvaged by rewording without inventing new scope."																		
compound_multipart;not_a_requirement;observational_verdict	te_0281_c01	split	This is true. Note the unique characteristics of Superfund sites.	"Confirms that RCRA does not cover Superfund sites, which are abandoned or historical contaminated sites. ||| Points out the distinguishing characteristics of Superfund sites that place them outside RCRA's scope."	"The criterion bundles a verdict-style confirmation with a separate content requirement about Superfund site characteristics, so it is split into two atomic, reference-free requirements."																		
not_a_requirement	te_0282_c01	flag_for_human	This is an open-end question.	Focuses on considering possibilities rather than trying to get a concrete correct answer.	"This is a bare observation about the question type, not a checkable requirement on the tutor's response, and cannot be salvaged by rewording."																		
not_a_requirement	te_0284_c01	flag_for_human	It's important to think out of the box not only just focusing on the city itself but the potential negative impacts.	Provides examples of negative events that could occur beyond the city.	"This is a vague meta-comment about thinking style, not a checkable requirement on the tutor's response, and cannot be salvaged by rewording without inventing new substance."																		
not_a_requirement;observational_verdict	te_0285_c01	reword	"Yes, such as water or wastewater source thermal energy recovery."	"Confirms that there are additional renewable energy sources not covered in the passage, such as water or wastewater source thermal energy recovery."	Converted the bare affirmative verdict into a checkable requirement on the tutor's response while preserving the example given.																		
not_a_requirement	te_0286_c01	reword	It's less likely in a short term.	States that fully replacing fossil fuels with renewable energy is unlikely in the short term.	Reframed the bare observation into a positive requirement on the tutor's response.																		
not_a_requirement	te_0287_c01	flag_for_human	This depends on the type of enegry sources	Provides answers for multiple different forms of energy.	This is a vague fragment (with a typo) restating that impacts vary by source; it states no checkable requirement on the tutor's response and cannot be salvaged by rewording without inventing content.																		
